  step,            time,            ax,            ay,            az,            bx,            by,            bz,            cx,            cy,            cz,             a,             b,             c
           55,  0.274990E+02,  0.211662E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.211662E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.211662E+02,  0.211662E+02,  0.211662E+02,  0.211662E+02
           56,  0.279990E+02,  0.209534E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209534E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209534E+02,  0.209534E+02,  0.209534E+02,  0.209534E+02
           57,  0.284990E+02,  0.208804E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208804E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208804E+02,  0.208804E+02,  0.208804E+02,  0.208804E+02
           58,  0.289990E+02,  0.207642E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207642E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207642E+02,  0.207642E+02,  0.207642E+02,  0.207642E+02
           59,  0.294990E+02,  0.207153E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207153E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207153E+02,  0.207153E+02,  0.207153E+02,  0.207153E+02
           60,  0.299990E+02,  0.208745E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208745E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208745E+02,  0.208745E+02,  0.208745E+02,  0.208745E+02
           61,  0.304990E+02,  0.209461E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209461E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209461E+02,  0.209461E+02,  0.209461E+02,  0.209461E+02
           62,  0.309990E+02,  0.208901E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208901E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.208901E+02,  0.208901E+02,  0.208901E+02,  0.208901E+02
           63,  0.314990E+02,  0.209282E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209282E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.209282E+02,  0.209282E+02,  0.209282E+02,  0.209282E+02
           64,  0.319990E+02,  0.207946E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207946E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.207946E+02,  0.207946E+02,  0.207946E+02,  0.207946E+02
